Serial No,Event Date,Abstract Text,Nature of Injury
14,04/07/2017,"At 3:00 p.m. on April 7, 2017, Employee #1 was working from a ladder, performing demolition work. The employee was removing ceiling tile materials and fell from the ladder. The employee sustained injuries to his back in the fall and was hospitalized. ","Bruising, Contusion"
15,04/07/2017,"At 2:10 p.m. on April 7, 2017, Employee #1 was positioned in a bucket, which was attached to a skid steer, and lifted approximately seven feet. The employee was connecting electricity to a fan motor from the bucket. The bucket tilted and Employee #1 fell, fracturing his shoulder blades and ribs. ","Fracture, Broken Bones"
16,04/07/2017,"At 1:15 p.m. on April 7, 2017, Employee #1 and Coworker #1, employed by a construction subcontractor, were working at a new residential construction project.  Employee #1 was using a 28-foot Werner extension ladder to reach and repair interior crown molding near the entryway ceiling.  He was working at a height of approximately 16 feet.  Coworker #1, the supervisor, was standing at the foot of the ladder and holding onto it.  The ladder was set on top of a dropcloth and extended at an extreme angle over the area where stairs were to be installed.  Employee #1 was climbing down the ladder when Coworker #1 let go of the ladder.  The ladder slipped, and Employee #1 fell.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for knee and leg fractures and a shoulder dislocation. ","Fracture, Broken Bones"
17,04/06/2017,"On April 6, 2017, an employee was operating a bulldozer crushing and moving garbage. The employee fell out of operator's cabin of bulldozer as it was moving sharply downhill. The employee was crushed and suffered blunt force trauma to hips and legs. The employee was killed by heavy equipment, either by tracks of his dozer, or wheels of loader working nearby. There was no evidence of the employee wearing a seatbelt. ",Serious Fall/Strike
18,04/06/2017,"On April 6, 2017, an employee was walking outside from one building to another to pick up materials. The weather was dark, rainy, and windy. A forklift operator was driving between buildings to pick up materials when he struck the employee. The employee was killed. ",Serious Fall/Strike
19,04/06/2017,"At approximately 11:14 a.m. on April 6, 2017, an employee was using a bucket truck to take down a tree limb. The tree limb fell the wrong way and struck the employee. The employee was killed. ",Serious Fall/Strike
20,04/06/2017,"At approximately 9:48 a.m. on April 6, 2017, an employee was assisting a coworker to relocate a load of steel sheets that weighed approximately 1,400 pounds to a staging area where a forklift could take it away.  The employee attempted to move a table that was blocking the final resting place of the load. The employee walked under the raised load of metal and the load fell and crushed the employee to death. The raised load was hoisted by two canvas slings attached to four hooks.  One loop of one of the slings was not seated in the throat of the hook and slipped from the hook and fell as the employee was under the load. ",Serious Fall/Strike
21,04/06/2017,"At approximately 8:00 a.m. on April 6, 2017, an employee was rolling up straps on the trailer. Materials fell off of the flatbed trailer and struck the employee. The employee suffered massive trauma to the head and chest area and was killed. ",Head Trauma
22,04/06/2017,"At 3:00 p.m. on April 6, 2017, Employee #1, employed by a supplier of rotating equipment, was engaged in the demolition of a foundation at a construction worksite.  He was operating a jackhammer when he dropped the machine, overreached to catch it, and fell.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractured vertebrae. ","Fracture, Broken Bones"
23,04/06/2017,"At approximately 2:00 a.m. on April 6, 2017, an employee was working the counter at a convenience store.  Two armed individuals entered the store and demanded money. The employee emptied both cash registers and his own pockets. Perpetrators shot the employee on their way out of the store. The employee died at the hospital. ",Serious Fall/Strike
24,04/06/2017,"At approximately 1:00 p.m. on April 6, 2017, an employee was engaged in moving a truss web scaffold.  The truss web scaffold was a four level scaffold attached to the side of the San Francisco Bay Bridge. A tugger motor was used to move the scaffold.  The movement speed of the operation was approximately walking speed. The employee had gloves on both hands. The employee was using the left hand to guide the wire into the tugger motor. The left gloved hand got pulled in by the wire.  The employee's left hand fingers got pinned by the wire against the tugger motor spool.  The employee was operating the tugger motor with the right hand.  The employee released the tugger motor control. The tugger failed to stop and continued to operate.  The employee used the right hand to pull the wire in an attempt to release the left hand.  The employee's right hand finger got pinched by the wire and the spool of the tugger motor.  The employee pulled the right hand out.  The right hand glove with the amputated right middle finger fell into the bay.  The employee suffered an amputated right middle finger, lacerations to right ring and index fingers, crushed left index, middle and ring fingers. The employee was hospitalized and treated for his injuries.	 ",Laceration
25,04/05/2017,"On two occasions Employee #1 and Employee #2, employed by a construction company, were working at a commercial building under renovation.  In the first incident, on March 18, 2017, Employee #1 was conducting a walk through of a building unit prior to installation of cabinets.  Employee #1 lifted a board from the floor and fell through an opening that the board was covering and down to a concrete subfloor, a fall height of 4 feet.  In the second incident, on April 13, 2017, Employee #2 was sweeping up trash and other debris from an area where the building's trash compactor was scheduled to be installed.  The employee stepped back and fell through a floor opening not covered by a floor board, a fall height of approximately 10 feet.  In both incidents, the injured employee was transported to the hospital and treated for bruising, muscle strains, and lacerations.  During the subsequent investigations, it was determined that the work zones were poorly lighted, and the floor openings were poorly marked and not properly secured. ","Bruising, Contusion"
26,04/05/2017,"At approximately 11:45 p.m. on April 5, 2017, an employee was a part of the sanitation crew that was cleaning and sanitizing the machines at the facility. The crew consisted of four crew members and one supervisor.  The supervisor was on site when the accident occurred. The employee was in the process of cleaning and sanitizing the Leek Processing Machine at that facility.  The machine was operating, and he was using a hose to spray the moving machine components.  During this process, he reached into the machine and his clothing became entangled by its rotating components. As his clothing was drawn into the Leek Processing Machine, his arm was broken.  When his clothing tightened around him, he was asphyxiated. The employee's body was transported from the scene by the coroner.  Even though the members of the Sanitation Crew were regularly near the moving components of the operating machines, no control of hazardous energy or Lockout/Tagout procedure was available for the Sanitation Crew. ","Asphyxiation, Drowning"
27,04/05/2017,"At approximately 10:30 a.m. on April 5, 2017, an employee was climbing a vertical ladder to access a scaffold platform. The employee fell 60 feet to a lower platform walkway and was not tied off.  The employee sustained a concussion and broken bones. The employee was killed. ",Head Trauma
28,04/05/2017,"At 3:20 p.m. on April 5, 2017, Employee #1, employed by a roofing company, was working at a residential building site.  He was on the roof and walking on unsecured roofing felt when he slipped and fell, a fall height of 11 feet. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured ankle. ","Fracture, Broken Bones"
29,04/05/2017,"At approximately 1:00 p.m. on April 5, 32017, an employee was preparing to unload trash from the garbage truck. However, his misjudged situation and was pinned by the compactor plate. The employee was crushed and killed by solid waste compactor. ",Serious Fall/Strike
30,04/05/2017,"At 1:00 p.m. on April 5, 2017, Employee #1, employed by a construction contractor, was engaged in a sewer line removal and replacement operation.  He was returning to work after a lunch break.  As he stood at the edge of the excavated trench, an unsupported walkway collapsed.  Employee #1 was thrown into the trench by the collapsing walkway, which measured approximately 6 feet long by 4 feet wide by 4 inches thick. The walkway was composed of flagstone and concrete, and weighed approximately 1,224 pounds.  He was struck and pinned in the trench by the collapsed walkway.  Emergency services were called, and they freed Employee #1 from the excavation and transported him to the hospital.  He was admitted and treated for fractures, cuts, and contusions to his legs and ankles.  Employee #1 required multiple surgeries. ","Bruising, Contusion"
31,04/04/2017,"At approximately 10:30 a.m. on April 4, 2017, an employee was installing Standing Seam Roofing Panels. The employee fell from the roof and struck his head on the concrete floor. The employee suffered from blunt force trauma to the body and head and was killed. ",Serious Fall/Strike
32,04/04/2017,"At 9:10 a.m. on April 4, 2017, Employee #1, employed by a heating and air conditioning contractor, was working at a multiemployer construction site.  He was installing decking in the HVAC area of the rafters to increase the area's safety for workers.  Employee #1 fell through an opening in the decking and struck the cement floor.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for head trauma and multiple fractures. ",Head Trauma
33,04/04/2017,"At 7:20 a.m. on April 4, 2017, Employee #1 and Coworkers #1 and #2, employed by a construction company, were working at a multiemployer construction project for a manufacturing plant.  They were tasked with rigging structural steel open web girders and placing them by crane on the structure.  The girders measured 50 feet long and weighed 6,000 pounds.  Employee #1, a journeyman ironworker, and Coworker #1, an apprentice ironworker, were rigging the girders, and Coworker #2 was operating the crane.  The girders were staged in an upright position in the laydown area.  Employee #1 rigged a girder and signaled Coworker #2 to hoist it.  As the girder was hoisted, it caught the bottom lift of the girder positioned next to it.  The displaced girder toppled over and struck Employee #1.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to his pelvis. ","Fracture, Broken Bones"
34,04/04/2017,"At approximately 6:00 p.m. on April 4, 2017, an employee was hooking a water pump to a sling. The crane boom or load line contacted an overhead power line. The employee was electrocuted. ",Electrocution
35,04/04/2017,"At 6:45 a.m. on April 4, 2017, an employee was feeding hardwood flooring onto an end matcher.  As the employee was putting a piece of hardwood flooring onto the end matcher, the left ring finger went inside of a round hole on the end matcher table. The plug for the hole was missing. Lugs were moving along the end matcher table moving the flooring off the end matcher and onto a conveyor belt. The employee's ring finger was caught between the hole and the lug and the finger was amputated at about the middle joint. ger was amputated at about the middle joint.","Amputation, Crushing"
36,04/04/2017,"At 4:00 p.m. on April 4, 2017, Employee #1, employed by an industrial painting company, was engaged in painting a bridge.  He was working from an aerial lift.  Employee #1 made contact with overhead electrical power lines and received an electrical shock.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for first and third degree burns to his arm, chest, and back. ",Electrocution
37,04/04/2017,"At 3:00 p.m. on April 4, 2017, Employee #1, employed by a construction company, was working on the roof of a commercial building.  He was applying tape above metal flashing when he fell from the roof to the concrete surface below, a fall height of 20 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for a fractured toe, a sprained right arm, and injured ribs. ","Fracture, Broken Bones"
38,04/04/2017,"At 3:00 p.m. on April 4, 2017, Employee #1, employed by a home improvements contractor, was working at a private residence.  He was dismantling an existing patio in preparation for replacing it with a new patio.  Employee #1 climbed onto the top of the patio cover to cut it into smaller pieces for removal.  As he worked, he stepped back and his foot went through an already cut section of the cover.  Employee #1 fell through the opening and down to the ground, a fall height of approximately 8 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was treated for injuries to his head, back and neck and then discharged. ",Head Trauma
39,04/04/2017,"At approximately 2:00 p.m. on April 4, 2017, an employee got into an aerial lift to help install a gutter downspout.  The employee collapsed, became unresponsive and died due to apparent medical condition. ",Serious Fall/Strike
40,04/04/2017,"At 1:15 a.m. on April 4, 2017, an employee working in a nutritional supplements manufacturing plant was performing machine cleaning duties. The employee was cleaning the inside of a 2 inch pneumatic butterfly valve to remove any remaining meat product. The employee connected house air to the valve to keep the valve open while cleaning the inside of the valve. There was miscommunication with a coworker and the air was disconnected. The employee and coworker were standing within 2 feet of each other. When the air source was disconnected, the valve closed and pinched the tip of the employees right index finger. The employee pulled the finger out of the valve. The employee was taken by EMS to a hospital. The employee's right index finger tip was amputated. The employees were working on an Alfa Laval Centrifuge machine which was locked out at the time of the accident. A lack of energy restraint (lockout) on the air source to the butterfly valve contributed to the accident. ","Amputation, Crushing"
41,04/03/2017,"On April 3, 2017, an employee fell to the ground while walking. He was impaled by a screwdriver resulting in puncture of aorta. The employee was taken to the Presbyterian hospital where he died the following day.		 ",Puncture
42,04/03/2017,"At 12:00 p.m. on April 3, 2017, Employees #1 and #2, employed by a construction contractor, were engaged in trench excavation work related to a commercial building construction project.  Employee #1 was taking his lunch break while standing inside the 2- to 3-foot excavation, which had just been dug next to an existing concrete block wall.  Employee #2 was outside the trench near Employee #1.  The concrete block wall's footing had been exposed and weakened by the digging.  The wall collapsed, completely burying Employee #1 and trapping Employee #2's left foot.  Emergency services were called. Employee #1, when freed from the collapse, and found to have fatal head and chest injuries.  Employee #2's foot was freed from the collapsed wall.  He was transported to the hospital, admitted, and treated for fractures to his foot. ","Fracture, Broken Bones"
43,04/03/2017,"At approximately 12:00 p.m. on April 3, 2017, Employee #1 had parked the frontend loader he had been operating close to the trench that had just been dug next to the existing concrete block wall. Employee #2, a foreman, who had been checking the depth of the trench, was standing outside the trench near Employee #1. They were getting ready to take their lunch break. The existing concrete block wall's footing had been exposed by the excavation that had just been dug.  Employee #2 saw the wall begin to move and yelled at the two men to lookout. Theexisting concrete block wall fell over and trapped Employee #1 underneath it.The wall also trapped Employee# 2's left foot. Employee# 2's foot was freed by other workers that came to his aid. Employee #1 remained trapped under the wall until he was recovered by responding members of Heartland Fire & Rescue.  Employee #2 received a fractured left ankle and other injuries to his left leg and was hospitalized at Sharp Memorial Hospital.  Employee #1 succumbed to his injuries prior to being freed from under the collapsed wall.",Serious Fall/Strike
44,04/03/2017,"At 12:00 p.m. on April 3, 2017, Employee #1, employed by a water-related construction company, was engaged in lifting operations.  He was operating a boom truck crane to lift marine packing material from the water and place it on land.  The crane tipped over.  Employee #1 was struck in the chest. Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractured ribs and bruised shoulders.  During the subsequent investigation, it was determined that the crane had been loaded with excessive weight. ","Bruising, Contusion"
45,04/03/2017,"At 12:30 p.m. on April 3, 2017, an employee was removing material that had become caught in a slitter machine. The employee accidentally stepped on the foot pedal which activated the machine. The employee's hand was caught in the slitter rollers. The employee's left arm and hand were fractured. ",Laceration
46,04/03/2017,"At 11:45 a.m. on April 3, 2017, an employee was operating an electric pallet jack. The employee was caught between the electric pallet jack handle and a building column. The employee sustained contusions and compression injuries to the chest. ","Bruising, Contusion"
47,04/03/2017,"At 11:12 p.m. on April 3, 2017, an employee was running regular production operations on the Sencorp thermoforming line no. 12, model no. 2500 that was adjacent to Sencorp thermoforming line no. 13, model no. 2500 that was operated by a coworker. At approximately 11:12 p.m. the employee was watching about 20 to 25 Omron trays being produced and speaking with the coworker at line no. 12 trim press station after the coworker started the initial production run following machine setup. At that time, there was a production-related problem. The employee noticed that plastic sheet material came out of the in-feed chain and bad parts were being produced. The employee and co-worker walked over to the in-feed station and the employee got on a relatively small work platform at the side of the horizontal in-feed table. Plastic sheet opposite the employee buckled and was sagging. The employee reached out to place his right hand on the buckled plastic that was about 4 to 6 inches away from an unguarded pinch point. The employee's right foot slipped off the work platform and the right hand entered the pinch point between the horizontal in-feed pin chain (equipped with vertical spikes for piercing plastic sheets) and the vertical idler wheel  at the same time the machine indexed forward. The employee's right hand middle finger was amputated at the first knuckle. The employee walked away from the in-feed station to seek first aid. Co-workers responded. First responders were requested. The employee's amputated fingertip was recovered. The employee was transported by ambulance to local emergency room at Delnor hospital in Geneva, IL, but the fingertip was not reattached. ","Amputation, Crushing"
48,04/03/2017,"At 11:55 a.m. on April 3, 2017, an employee was assisting others in placing a decommissioned metal dip tank into a recycling roll away dumpster. The tank started to topple and the employee reached in to the roll away to steady the piece when his finger was cut by the 2"" lip of the tank. The employee's left ring finger tip pad was amputated. ","Amputation, Crushing"
49,04/03/2017,"At approximately 10:20 p.m. on April 3, 2017, an employee and two coworkers were in the process of removing traffic control cones/barrels. The employee was parked alone in a pickup truck on/near shoulder of an on ramp. Two coworkers were behind the truck removing cones/barrels to the side of the road.  All of a sudden, the employee started moving in reverse at high rate of speed, crossed the on ramp and the closed lane and into oncoming traffic in the open lane resulting in a wreck which killed the employee.  A possible medical condition may have initiated the accident. ",Serious Fall/Strike
50,04/03/2017,"At 10:30 a.m. on April 3, 2017, an employee was slicing a pork tenderloin on a meat cutting band saw (Biro, Model 1433, Serial # 6538).  The employee finished the cut, reached into the box containing the unfrozen meat, and placed one onto the cutting surface of the band saw. The band saw was not turned off between cuts. The employees left hand slipped off the cold wet meat and contacted the cutting blade. The employee's left ring finger tip was amputated. The employee was trained to use the band saw. The employer had rules for turning off the saw between cuts. Failure to follow rules may have caused or contributed to the accident. ","Amputation, Crushing"
51,04/03/2017,"At 10:30 a.m. on April 3, 2017, an employee was leveling out the dust in a large box that sits below a Y process line dust collector. The employee opened the gate and used a hand to level off the dust. The employee's finger was caught by the rotating airlock inside the dust collector. The employee's finger was partially amputated. ","Amputation, Crushing"
52,04/03/2017,"At approximately 9:00 p.m. on April 3, 2017, an employee, maintenance worker at a mobile home park, was operating a Craftsman gas powered pressure washer (1800psi, 2.0gpm, 5.0HP, Model: 580.768010, Serial: 5400248) to assist with cleaning of a laundry room floor.  The employee was killed by asphyxiation apparently from exposure to carbon monoxide. ","Asphyxiation, Drowning"
53,04/03/2017,"At 8:45 a.m. on April 3, 2017, an employee was cutting a piece of scrap aluminum to size for disposal using a chop saw. The employee raised the chop saw after cutting a piece and briefly looked away. The employee fed the next section of material to be cut as they looked away. The employee's left index finger touched the moving blade. The finger was severely cut and required amputation at the first knuckle. ",Laceration
54,04/03/2017,"At approximately 7:20 a.m. on April 3, 2017, Employees #1 and #2 were starting up the steam generator for manufacturing of corrugated boxes.  The bottom of the semi-closed receiver (SCR) catastrophically failed at approximately 100 psi causing the approximately 338 degree Fahrenheit water to flash over to steam.  The SCR rocketed out of the facility as a result of the explosion killing Employee #1 and critically injuring Employee #2.  Employee #1 was killed from the explosive blast trauma and Employee #2 received fractures to his legs and face when the boiler room walls collapsed onto him. The SCR travelled approximately 510 feet and crashed through the roof of Faultless Healthcare Linen killing three employees at that establishment. ","Fracture, Broken Bones"
55,04/03/2017,"At approximately 7:30 a.m. on April 3, 2017, two employees were filling out employment paperwork sitting on desk.  At approximately 500 feet way, a part of a boiler (CSR) exploded, flew 500 feet and went through the roof of the employer where two new employees were sitting. Both employees were struck and crushed to death.	 ",Head Trauma
56,04/03/2017,"At 7:30 a.m. on April 3, 2017, an employee was cutting material and sustained amputation of a finger by a rotating blade. ","Amputation, Crushing"
57,04/03/2017,"At 7:30 a.m. on April 3, 2017, an employee was moving freight when the employee's foot was caught between a truck and a building.  The employee's ankle was fractured. ","Fracture, Broken Bones"
58,04/03/2017,"At approximately 6:20 p.m. on April 3, 2017, an employee was carrying parts from one workstation to another. The employee tripped and fell to the ground, hitting his head on the concrete floor. The employee collapsed and was killed.	 ",Head Trauma
59,04/03/2017,"At 5:30 p.m. on April 3, 2017, an employee was waiting on the ground level for a coworker to lower a couch over a second story balcony railing. The employee was struck by the falling couch. The employee sustained a fractured arm and leg and a bruised knee. ","Bruising, Contusion"
60,04/03/2017,"At approximately 3:45 p.m. on April 3, 2017, an employee was removing guardrails from an exterior second story balcony. The employee fell approximately 19 feet to the dirt ground below. He suffered from multiple blunt for trauma and was killed. The owner believed that the employee may have lost his balance while using a ladder to remove guardrails falling to the lower level. 	 ","Bruising, Contusion"
61,04/03/2017,"At 3:00 p.m. on April 3, 2017, an employee was working from an order picker disassembling metal racking at a height of approximately six feet and approximately seven feet from the fall protection tie-off point. A beam fell and struck the employee causing the employee to fall to the concrete floor. The employee's fall protection was not adequate for the working height and did not stop the employee's fall. The employee fell to the concrete floor. The employee sustained broken bones. ","Fracture, Broken Bones"
62,04/03/2017,"At 2:00 p.m. on April 3, 2017, an employee was riding in the cab of a John Deere 310G backhoe. The employee's head struck the cab support post. The employee became unconscious and fell to the ground. The employee was unconscious for a period of approximately 2 minutes. The employee sustained head injuries. ",Head Trauma
63,04/03/2017,"At 1:45 p.m. on April 3, 2017, an employee was retrieving some dividers for a produce case from the top of a cooler. The employee was stepping over a pipe located in the back corner of the cooler roof and either tripped or slipped. The employee fell 11 feet from the cooler roof to the concrete floor. The employee sustained a broken back. ","Fracture, Broken Bones"
64,04/03/2017,"At 1:20 p.m. on April 3, 2017, an employee's finger was pinched between a dolly and trailer. The employee's right middle finger tip was amputated. ","Amputation, Crushing"
65,04/03/2017,"At 1:00 p.m. on April 3, 2017, an employee was bending metal strips of approximately 7 inches X 1 inch on a press brake. The employee's index finger on the left hand was caught between the metal strip and the frame of the machine. Approximately 1/8th of an inch of the employee's tip of the left index finger was amputated. ","Amputation, Crushing"
66,04/02/2017,"At approximately 8:00 p.m. on April 2, 2017, an employee's wife called the company to report that he had not come home. The employee's shift ended at 4:30 p.m. The company personnel went to check where the employee had been working, which was to perform a check at one of the ""poultry houses.""  At 8:16 p.m., they found the employee lying unresponsive on a landing. The cause of the incident was unknown at this time. Emergency Medical services were called and the employee was transported to the hospital and admitted and was in very grave condition.  At 1:30 p.m. on April 3, 2017, the employee died from massive ""head trauma."" ","Fracture, Broken Bones"
67,04/02/2017,"At 10:00 a.m. on April 2, 2017, an employee was in a scissor lift bucket 25 to 30 feet above the ground. A crane hit the extended scissor lift and the lift tipped over. The employee stayed inside the scissor lift basket as it fell. The basket hit a workstation desk and the employee was ejected from basket. ","Fracture, Broken Bones"
68,04/02/2017,"At 8:30 a.m. on April 2, 2017, an employee was standing on a ladder and fell. The employee sustained a broken leg. ","Fracture, Broken Bones"
69,04/02/2017,"At 7:15 a.m. on April 2, 2017, an employee was cleaning sand from a hopper. The employee's fingers were caught-in the gate and the tips of the middle and ring fingers were amputated. ","Amputation, Crushing"
70,04/02/2017,"At 3:00 p.m. on April 2, 2017, an employee was climbing onto a drilling rig skid. The employee grabbed a hydraulic cylinder to assist climbing onto the drilling rig skid. The employee was struck by the hydraulic cylinder and sustained amputation of the right leg. ","Amputation, Crushing"
71,04/01/2017,"At approximately 12:30 p.m. on April 1, 2017, an employee was removing electrical lighting fixtures and electrical wires. The employee was working in a room while the employer was working on the other side of the wall.  The Employer stated that he heard a noise and then he saw the employee on the ground at the bottom of the ladder. The cause of the death was not known.	 ",Serious Fall/Strike
72,04/01/2017,"At 12:15 p.m. on April 1, 2017, an employee tripped on a flatbed while walking and fell. The employee sustained a head and neck injury. ","Fracture, Broken Bones"
73,04/01/2017,"At 12:00 p.m. on April 1, 2017, two employees of Swisher Country Cattle Company were helping a cow birth a calf. The cow was locked in a chute. Employee #1 operated the chute and Employee #2 helped with the birth. Employee #1 opened the chute to release the cow. The cow left the chute, turned around, and traveled back toward the two employees. Employee #1 injured a knee when the knee hyperextended while fleeing on steps. ",Serious Fall/Strike
74,04/01/2017,"At 12:00 a.m. on April 1, 2017, an employee sustained a cut to the right index finger which became infected. ",Laceration
75,04/01/2017,"At approximately 11:00 p.m. on April 1, 2017, an employee was removing rigging from upper half inner casing to move to another location. When hook was being raised to move to another area, the hook caught the casing lug, and then slipped off of the lug and struck the employee in the side of the head and face. The employee suffered fracture to skull and face and massive bleeding from head and was killed. ",Laceration
76,04/01/2017,"At 11:15 a.m. on April 1, 2017, Employee #1, employed by a roofing company, was engaged in roofing work at a commercial building.  As he climbed a ladder he slipped and fell, a fall height of 14 feet.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for fractures to both ankles. ","Bruising, Contusion"
77,04/01/2017,"At 11:30 a.m. on April 1, 2017, Employee #1 was working on a construction project.  He was using a Skilsaw circular power saw to cut the bottom of a wooden door.  The saw kicked back, and the blade struck his left hand's ring finger.  Emergency services were called, and Employee #1 was transported to the hospital.  He was admitted and treated for the amputation of his finger. ","Amputation, Crushing"
78,04/01/2017,"At 10:30 a.m. on April 1, 2017, electricians were trouble shooting switch gear. An arc blast/flash occurred. One employee sustained an electrical shock and burns to the face. ",Electrocution
79,04/01/2017,"At 9:00 a.m. on April 1, 2017, an employee was in a truck bed off loading bread. The employee fell from the back of the truck and sustained a broken leg. ","Fracture, Broken Bones"
80,04/01/2017,"At 8:30 a.m. on April 1, 2017, a recently hired employee entered a freezer compartment but did not place the warning device (i.e. chain with sign and/or or warning cone) across the entrance. The warning device alerts a powered industrial truck operator that an employee may be in the freezer. The operator, who had obstructed vision, entered the freezer. The powered industrial truck operator involved in the accident was trained and certified to operate such equipment. The employee was struck by the powered industrial truck and sustained multiple fractures of the left foot. ","Fracture, Broken Bones"
81,04/01/2017,"At approximately 4:15 a.m. on April 1, 2017, an employee was repairing the bread oven. The employee was engulfed in flames after a propane leak in the kitchen while he was repairing a bread oven. The employee had fire all over his body and was killed. ",Fire Burn
